0,#,FORM,LEMMA,GRAM,COMMENT,CHECKED,CONTEXT,RIGHT1,RIGHT2,RIGHT3,RIGHT4,RIGHT5,RIGHT6,POS,AUTO_LEMMA,AUTO_GRAM,
1,,огорожен,ОГОРОДИТЬ,PARTCP pf praet - sg brev m pass -,,,   _огорожен_ .  ,н,е,ж,о,р,о,PARTCP,ОГОРОДИТЬ,PARTCP pf praet - sg brev m pass -,Ь
2,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
3,,,,,,,,,,,,,,,,,
4,# sent = 424,,,,,,,,,,,,,,,,
5,,Жили,ЖИТЬ,V ipf praet pl indic - -,,,.   _Жили_ мы в палатках,и,л,и,ж,,,V,ЖИТЬ,V ipf praet pl indic - -,Ь
6,,мы,МЫ,SPRO pl 1p - nom,,,  Жили _мы_ в палатках (,ы,м,,,,,SPRO,МЫ,SPRO pl 1p - nom,Ы
7,,в,В,PR,,, Жили мы _в_ палатках ( ну,в,,,,,,PR,В,PR,В
8,,палатках,ПАЛАТКА,S f inan loc pl,,,Жили мы в _палатках_ ( ну в,х,а,к,т,а,л,S,ПАЛАТКА,S f inan loc pl,А
9,,(,(,PUNCT,,,,,,,,,,PUNCT,,,
10,,ну,НУ,PART,,,в палатках ( _ну_ в таких больших,у,н,,,,,PART,НУ,PART,У
11,,в,В,PR,,,палатках ( ну _в_ таких больших в,в,,,,,,PR,В,PR,В
12,,таких,ТАКОЙ,APRO - loc pl plen - -,,,( ну в _таких_ больших в армейских,х,и,к,а,т,,APRO,ТАКОЙ,A - loc pl plen - -,Й
13,,больших,БОЛЬШОЙ,A - loc pl plen - -,,,ну в таких _больших_ в армейских ),х,и,ш,ь,л,о,A,БОЛЬШОЙ,A - loc pl plen - -,Й
14,,в,В,PR,,,"в таких больших _в_ армейских ) ,",в,,,,,,PR,В,PR,В
15,,армейских,АРМЕЙСКИЙ,A - loc pl plen - -,,,"таких больших в _армейских_ ) , и",х,и,к,с,й,е,A,АРМЕЙСКИЙ,A - loc pl plen - -,Й
16,,),),PUNCT,,,,,,,,,,PUNCT,,,
17,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
18,,и,И,CONJ,,,"армейских ) , _и_ поэтому я в",и,,,,,,CONJ,И,CONJ,И
19,,поэтому,ПОЭТОМУ,ADVPRO,,,") , и _поэтому_ я в свободное",у,м,о,т,э,о,ADV,ПОЭТОМУ,ADV -,У
20,,я,Я,SPRO sg 1p - nom,,,", и поэтому _я_ в свободное время",я,,,,,,SPRO,Я,SPRO sg 1p - nom,Я
21,,в,В,PR,,,и поэтому я _в_ свободное время очень,в,,,,,,PR,В,PR,В
22,,свободное,СВОБОДНЫЙ,A - acc sg plen n inan,,,поэтому я в _свободное_ время очень часто,е,о,н,д,о,б,A,СВОБОДНЫЙ,A - acc sg plen n inan,Й
23,,время,ВРЕМЯ,S n inan acc sg,,,я в свободное _время_ очень часто ходил,я,м,е,р,в,,S,ВРЕМЯ,S n inan acc sg,Я
24,,очень,ОЧЕНЬ,ADV -,,,в свободное время _очень_ часто ходил в,ь,н,е,ч,о,,ADV,ОЧЕНЬ,ADV -,Ь
25,,часто,ЧАСТО,ADV -,,,свободное время очень _часто_ ходил в лес,о,т,с,а,ч,,ADV,ЧАСТО,ADV -,О
26,,ходил,ХОДИТЬ,V ipf praet sg indic m -,,,время очень часто _ходил_ в лес за,л,и,д,о,х,,V,ХОДИТЬ,V ipf praet sg indic m -,Ь
27,,в,В,PR,,,очень часто ходил _в_ лес за грибами,в,,,,,,PR,В,PR,В
28,,лес,ЛЕС,S m inan acc sg,,,"часто ходил в _лес_ за грибами ,",с,е,л,,,,S,ЛЕС,S m inan acc sg,С
29,,за,ЗА,PR,,,"ходил в лес _за_ грибами , за",а,з,,,,,PR,ЗА,PR,А
30,,грибами,ГРИБ,S m inan ins pl,,,"в лес за _грибами_ , за ягодами",и,м,а,б,и,р,S,ГРИБ,S m inan ins pl,Б
31,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
32,,за,ЗА,PR,,,"за грибами , _за_ ягодами , просто",а,з,,,,,PR,ЗА,PR,А
33,,ягодами,ЯГОДА,S f inan ins pl,,,"грибами , за _ягодами_ , просто гулял",и,м,а,д,о,г,S,ЯГОДА,S f inan ins pl,А
34,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
35,,просто,ПРОСТО,PART,,,"за ягодами , _просто_ гулял в лесу",о,т,с,о,р,п,PART,ПРОСТО,PART,О
36,,гулял,ГУЛЯТЬ,V ipf praet sg indic m -,,,"ягодами , просто _гулял_ в лесу ,",л,я,л,у,г,,V,ГУЛЯТЬ,V ipf praet sg indic m -,Ь
37,,в,В,PR,,,", просто гулял _в_ лесу , мне",в,,,,,,PR,В,PR,В
38,,лесу,ЛЕС,S m inan loc2 sg,,,"просто гулял в _лесу_ , мне это",у,с,е,л,,,S,ЛЕС,S m inan loc2 sg,С
39,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
40,,мне,Я,SPRO sg 1p - dat,,,"в лесу , _мне_ это очень нравилось",е,н,м,,,,SPRO,Я,SPRO sg 1p - dat,Я
41,,это,ЭТО,SPRO n - nom sg,,,"лесу , мне _это_ очень нравилось .",о,т,э,,,,SPRO,ЭТО,S n - nom sg,О
42,,очень,ОЧЕНЬ,ADV -,,,", мне это _очень_ нравилось . ",ь,н,е,ч,о,,ADV,ОЧЕНЬ,ADV -,Ь
43,,нравилось,НРАВИТЬСЯ,V ipf praet sg indic n -,,,мне это очень _нравилось_ .  ,ь,с,о,л,и,в,V,НРАВИТЬСЯ,V ipf praet sg indic n -,Я
44,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
45,,,,,,,,,,,,,,,,,
46,# sent = 425,,,,,,,,,,,,,,,,
47,,Ну,НУ,PART,,,.   _Ну_ мне и ,у,н,,,,,PART,НУ,PART,У
48,,мне,Я,SPRO sg 1p - dat,,,  Ну _мне_ и  щас,е,н,м,,,,SPRO,Я,SPRO sg 1p - dat,Я
49,,и,И,CONJ,,, Ну мне _и_  щас ,и,,,,,,CONJ,И,CONJ,И
50,"<distinct form=""",,,,,,,,,,,,,,,,
51,<dist>,щас,,,,,,,,,,,,,,,
52,""">",,,,,,,,,,,,,,,,
53,,сейчас,СЕЙЧАС,ADV -,,," щас  _сейчас_  , наверно",с,а,ч,й,е,с,ADV,СЕЙЧАС,ADV -,С
54,</distinct>,,,,,,,,,,,,,,,,
55,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
56,,наверно,НАВЕРНО,PARENTH,,,"сейчас  , _наверно_ , нравится ,",о,н,р,е,в,а,ADV,НАВЕРНО,ADV -,О
57,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
58,,нравится,НРАВИТЬСЯ,V ipf praes sg indic - 3p,,,", наверно , _нравится_ , просто давно",я,с,т,и,в,а,V,НРАВИТЬСЯ,V ipf praes sg indic - 3p,Я
59,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
60,,просто,ПРОСТО,PART,,,", нравится , _просто_ давно уже не",о,т,с,о,р,п,PART,ПРОСТО,PART,О
61,,давно,ДАВНО,ADV -,,,"нравится , просто _давно_ уже не бываю",о,н,в,а,д,,ADV,ДАВНО,ADV -,О
62,,уже,УЖЕ,ADV -,,,", просто давно _уже_ не бываю как-то",е,ж,у,,,,ADV,УЖЕ,ADV -,Е
63,,не,НЕ,PART,,,"просто давно уже _не_ бываю как-то ,",е,н,,,,,PART,НЕ,PART,Е
64,,бываю,БЫВАТЬ,V ipf praes sg indic - 1p,,,"давно уже не _бываю_ как-то , всё",ю,а,в,ы,б,,V,БЫВАТЬ,V ipf praes sg indic - 1p,Ь
65,,как-то,КАК-ТО,ADVPRO,,,"уже не бываю _как-то_ , всё время",о,т,-,к,а,к,ADV,КАК-ТО,ADV -,О
66,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
67,,всё,ВЕСЬ,APRO - nom pl plen - -,,,"бываю как-то , _всё_ время занят .",ё,с,в,,,,APRO,ВЕСЬ,A - nom pl plen - -,Ь
68,,время,ВРЕМЯ,S n inan acc sg,,,"как-то , всё _время_ занят . ",я,м,е,р,в,,S,ВРЕМЯ,S n inan acc sg,Я
69,,занят,ЗАНЯТЫЙ,A - - sg brev m -,,,", всё время _занят_ .  ",т,я,н,а,з,,A,ЗАНЯТЫЙ,A - - sg brev m -,Й
70,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
71,,,,,,,,,,,,,,,,,
72,# sent = 426,,,,,,,,,,,,,,,,
73,"<distinct form=""",,,,,,,,,,,,,,,,
74,<dist>,Во-от,,,,,,,,,,,,,,,
75,""">",,,,,,,,,,,,,,,,
76,,вот,ВОТ,PART,,, Во-от  _вот_  . ,т,о,в,,,,PART,ВОТ,PART,Т
77,</distinct>,,,,,,,,,,,,,,,,
78,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
79,,,,,,,,,,,,,,,,,
80,# sent = 427,,,,,,,,,,,,,,,,
81,# speaker = Илья,,,,,,,,,,,,,,,,
82,# sent = 428,,,,,,,,,,,,,,,,
83,,Собирал,СОБИРАТЬ,V ipf praet sg indic m -,,,"   _Собирал_ ягоды , собирал",л,а,р,и,б,о,V,СОБИРАТЬ,V ipf praet sg indic m -,Ь
84,,ягоды,ЯГОДА,S f inan acc pl,,,"  Собирал _ягоды_ , собирал грибы",ы,д,о,г,я,,S,ЯГОДА,S f inan acc pl,А
85,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
86,,собирал,СОБИРАТЬ,V ipf praet sg indic m -,,,"Собирал ягоды , _собирал_ грибы , ну",л,а,р,и,б,о,V,СОБИРАТЬ,V ipf praet sg indic m -,Ь
87,,грибы,ГРИБ,S m inan acc pl,,,"ягоды , собирал _грибы_ , ну грибы",ы,б,и,р,г,,S,ГРИБ,S m inan acc pl,Б
88,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
89,,ну,НУ,PART,,,"собирал грибы , _ну_ грибы как бы собирал",у,н,,,,,PART,НУ,PART,У
90,,грибы,ГРИБ,S m inan nom pl,,,"грибы , ну _грибы_ как бы собирал как",ы,б,и,р,г,,S,ГРИБ,S m inan nom pl,Б
91,,как бы,как бы,PART,,,", ну грибы _как бы_ собирал как ,",ы,б, ,к,а,к,PART,как бы,ADV -,ы
92,,собирал,СОБИРАТЬ,V ipf praet sg indic m -,,,"ну грибы как бы _собирал_ как , их",л,а,р,и,б,о,V,СОБИРАТЬ,V ipf praet sg indic m -,Ь
93,,как,КАК,PART,,,"грибы как бы собирал _как_ , их некуда",к,а,к,,,,CONJ,КАК,CONJ,К
94,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
95,,их,ОНИ,SPRO pl - - acc,,,"собирал как , _их_ некуда там девать",х,и,,,,,SPRO,ОНИ,SPRO pl - - acc,И
96,,некуда,НЕКУДА,PRAEDICPRO,,,"как , их _некуда_ там девать ,",а,д,у,к,е,н,PRAEDIC,НЕКУДА,ADV -,А
97,,там,ТАМ,ADVPRO,,,", их некуда _там_ девать , поскольку",м,а,т,,,,ADV,ТАМ,ADV -,М
98,,девать,ДЕВАТЬ,V ipf - - inf - -,,,"их некуда там _девать_ , поскольку там",ь,т,а,в,е,д,V,ДЕВАТЬ,V ipf - - inf - -,Ь
99,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
100,,поскольку,ПОСКОЛЬКУ,CONJ,,,"там девать , _поскольку_ там сушить их",у,к,ь,л,о,к,CONJ,ПОСКОЛЬКУ,CONJ,У
101,,там,ТАМ,ADVPRO,,,"девать , поскольку _там_ сушить их не",м,а,т,,,,ADV,ТАМ,ADV -,М
102,,сушить,СУШИТЬ,V ipf - - inf - -,,,", поскольку там _сушить_ их не можешь",ь,т,и,ш,у,с,V,СУШИТЬ,V ipf - - inf - -,Ь
103,,их,ОНИ,SPRO pl - - acc,,,поскольку там сушить _их_ не можешь в,х,и,,,,,SPRO,ОНИ,SPRO pl - - acc,И
104,,не,НЕ,PART,,,там сушить их _не_ можешь в полевых,е,н,,,,,PART,НЕ,PART,Е
105,,можешь,МОЧЬ,V ipf praes sg indic - 2p,,,сушить их не _можешь_ в полевых таких,ь,ш,е,ж,о,м,V,МОЧЬ,V ipf praes sg indic - 2p,Ь
106,,в,В,PR,,,их не можешь _в_ полевых таких условиях,в,,,,,,PR,В,PR,В
107,,полевых,ПОЛЕВОЙ,A - loc pl plen - -,,,"не можешь в _полевых_ таких условиях ,",х,ы,в,е,л,о,A,ПОЛЕВОЙ,A - loc pl plen - -,Й
108,,таких,ТАКОЙ,APRO - loc pl plen - -,,,"можешь в полевых _таких_ условиях , готовить",х,и,к,а,т,,APRO,ТАКОЙ,A - loc pl plen - -,Й
109,,условиях,УСЛОВИЕ,S n inan loc pl,,,"в полевых таких _условиях_ , готовить тоже",х,я,и,в,о,л,S,УСЛОВИЕ,S n inan loc pl,Е
110,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
111,,готовить,ГОТОВИТЬ,V ipf - - inf - -,,,"таких условиях , _готовить_ тоже . ",ь,т,и,в,о,т,V,ГОТОВИТЬ,V ipf - - inf - -,Ь
112,,тоже,ТОЖЕ,PART,,,"условиях , готовить _тоже_ .  ",е,ж,о,т,,,PART,ТОЖЕ,PART,Е
113,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
114,,,,,,,,,,,,,,,,,
115,# sent = 429,,,,,,,,,,,,,,,,
116,,Мы,МЫ,SPRO pl 1p - nom,,,.   _Мы_ ходили на турбазу,ы,м,,,,,SPRO,МЫ,SPRO pl 1p - nom,Ы
117,,ходили,ХОДИТЬ,V ipf praet pl indic - -,,,"  Мы _ходили_ на турбазу ,",и,л,и,д,о,х,V,ХОДИТЬ,V ipf praet pl indic - -,Ь
118,,на,НА,PR,,," Мы ходили _на_ турбазу , нас",а,н,,,,,PR,НА,PR,А
119,,турбазу,ТУРБАЗА,S f inan acc sg,,,"Мы ходили на _турбазу_ , нас кормили",у,з,а,б,р,у,S,ТУРБАЗА,S f inan acc sg,А
120,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
121,,нас,МЫ,SPRO pl 1p - acc,,,"на турбазу , _нас_ кормили едой .",с,а,н,,,,SPRO,МЫ,SPRO pl 1p - loc,Ы
122,,кормили,КОРМИТЬ,V ipf praet pl indic - -,,,"турбазу , нас _кормили_ едой . ",и,л,и,м,р,о,V,КОРМИТЬ,V ipf praet pl indic - -,Ь
123,,едой,ЕДА,S f inan ins sg,,,", нас кормили _едой_ .  ",й,о,д,е,,,S,ЕДА,S f inan ins sg,А
124,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
125,,,,,,,,,,,,,,,,,
126,# sent = 430,,,,,,,,,,,,,,,,
127,,То есть,То есть,CONJ,,,.   _То есть_ мы не то что,ь,т,с,е, ,о,CONJ,То есть,ADV -,ь
128,,мы,МЫ,SPRO pl 1p - nom,,,  То есть _мы_ не то что вообще,ы,м,,,,,SPRO,МЫ,SPRO pl 1p - nom,Ы
129,,не то,не то,CONJ,слитно,, То есть мы _не то_ что вообще как,о,т, ,е,н,,CONJ,не то,CONJ,о
130,,что,ЧТО,CONJ,,,То есть мы не то _что_ вообще как там,о,т,ч,,,,CONJ,ЧТО,CONJ,О
131,,вообще,ВООБЩЕ,ADV -,,,мы не то что _вообще_ как там первые,е,щ,б,о,о,в,ADV,ВООБЩЕ,ADV -,Е
132,,как,КАК,CONJ,,,не то что вообще _как_ там первые пионеры,к,а,к,,,,CONJ,КАК,CONJ,К
133,,там,ТАМ,ADVPRO,,,что вообще как _там_ первые пионеры :,м,а,т,,,,ADV,ТАМ,ADV -,М
134,,первые,ПЕРВЫЙ,ANUM - nom pl plen - -,,,вообще как там _первые_ пионеры : сами,е,ы,в,р,е,п,A,ПЕРВЫЙ,A - nom pl plen - -,Й
135,,пионеры,ПИОНЕР,S m anim nom pl,,,как там первые _пионеры_ : сами всё,ы,р,е,н,о,и,S,ПИОНЕР,S m anim nom pl,Р
136,,:,:,PUNCT,,,,,,,,,,PUNCT,,,
137,,сами,САМ,APRO - nom pl plen - -,,,"первые пионеры : _сами_ всё готовят ,",и,м,а,с,,,A,САМ,A - nom pl plen - -,М
138,,всё,ВЕСЬ,SPRO n inan acc sg,,,"пионеры : сами _всё_ готовят , сами",ё,с,в,,,,ADV,ВСЕ,ADV -,Ь
139,,готовят,ГОТОВИТЬ,V ipf praes pl indic - 3p,,,": сами всё _готовят_ , сами всё",т,я,в,о,т,о,V,ГОТОВИТЬ,V ipf praes pl indic - 3p,Ь
140,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
141,,сами,САМ,APRO - nom pl plen - -,,,"всё готовят , _сами_ всё это .",и,м,а,с,,,A,САМ,A - nom pl plen - -,М
142,,всё,ВЕСЬ,APRO - nom pl plen - -,,,"готовят , сами _всё_ это . ",ё,с,в,,,,APRO,ВЕСЬ,A - nom pl plen - -,Ь
143,,это,ЭТО,SPRO n - acc sg,,,", сами всё _это_ .  ",о,т,э,,,,SPRO,ЭТО,S n inan acc sg,О
144,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
145,,,,,,,,,,,,,,,,,
146,# sent = 431,,,,,,,,,,,,,,,,
147,,То есть,То есть,CONJ,,,.   _То есть_ нас водили на,ь,т,с,е, ,о,CONJ,То есть,ADV -,ь
148,,нас,МЫ,SPRO pl 1p - acc,,,  То есть _нас_ водили на турбазу,с,а,н,,,,SPRO,МЫ,SPRO pl 1p - loc,Ы
149,,водили,ВОДИТЬ,V ipf praet pl indic - -,,, То есть нас _водили_ на турбазу тоже,и,л,и,д,о,в,V,ВОДИТЬ,V ipf praet pl indic - -,Ь
150,,на,НА,PR,,,То есть нас водили _на_ турбазу тоже по,а,н,,,,,PR,НА,PR,А
151,,турбазу,ТУРБАЗА,S f inan acc sg,,,нас водили на _турбазу_ тоже по расписанию,у,з,а,б,р,у,S,ТУРБАЗА,S f inan acc sg,А
152,,тоже,ТОЖЕ,PART,,,"водили на турбазу _тоже_ по расписанию ,",е,ж,о,т,,,PART,ТОЖЕ,PART,Е
153,,по,ПО,PR,,,"на турбазу тоже _по_ расписанию , там",о,п,,,,,PR,ПО,PR,О
154,,расписанию,РАСПИСАНИЕ,S n inan dat sg,,,"турбазу тоже по _расписанию_ , там ,",ю,и,н,а,с,и,S,РАСПИСАНИЕ,S n inan dat sg,Е
155,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
156,,там,ТАМ,ADVPRO,,,"по расписанию , _там_ , утром в",м,а,т,,,,ADV,ТАМ,ADV -,М
157,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
158,,утром,УТРО,S n inan ins sg,,,", там , _утром_ в обед и",м,о,р,т,у,,S,УТРО,S n inan ins sg,О
159,,в,В,PR,,,"там , утром _в_ обед и вечером",в,,,,,,PR,В,PR,В
160,,обед,ОБЕД,S m inan acc sg,,,", утром в _обед_ и вечером там",д,е,б,о,,,S,ОБЕД,S m inan acc sg,Д
161,,и,И,CONJ,,,утром в обед _и_ вечером там .,и,,,,,,CONJ,И,CONJ,И
162,,вечером,ВЕЧЕР,S m inan ins sg,,,в обед и _вечером_ там . ,м,о,р,е,ч,е,S,ВЕЧЕР,S m inan ins sg,Р
163,,там,ТАМ,ADVPRO,,,обед и вечером _там_ .  ,м,а,т,,,,ADV,ТАМ,ADV -,М
164,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
165,,,,,,,,,,,,,,,,,
166,# sent = 432,,,,,,,,,,,,,,,,
167,,Ходили,ХОДИТЬ,V ipf praet pl indic - -,,,.   _Ходили_ есть централизованно ,и,л,и,д,о,х,V,ХОДИТЬ,V ipf praet pl indic - -,Ь
168,,есть,БЫТЬ,V ipf - - inf - -,,,  Ходили _есть_ централизованно  и-и-и,ь,т,с,е,,,V,БЫТЬ,V ipf praes sg indic - 3p,Ь
169,,централизованно,ЦЕНТРАЛИЗОВАННО,ADV -,,, Ходили есть _централизованно_  и-и-и ,о,н,н,а,в,о,ADV,ЦЕНТРАЛИЗОВАННО,ADV -,О
170,"<distinct form=""",,,,,,,,,,,,,,,,
171,<dist>,и-и-и,,,,,,,,,,,,,,,
172,""">",,,,,,,,,,,,,,,,
173,,и,И,CONJ,,, и-и-и  _и_  как бы такую,и,,,,,,CONJ,И,CONJ,И
174,</distinct>,,,,,,,,,,,,,,,,
175,,как бы,как бы,PART,,, и  _как бы_ такую вкусную достаточно,ы,б, ,к,а,к,PART,как бы,ADV -,ы
176,,такую,ТАКОЙ,APRO - acc sg plen f -,,,и  как бы _такую_ вкусную достаточно пищу,ю,у,к,а,т,,APRO,ТАКОЙ,A - acc sg plen f -,Й
177,,вкусную,ВКУСНЫЙ,A - acc sg plen f -,,, как бы такую _вкусную_ достаточно пищу .,ю,у,н,с,у,к,A,ВКУСНЫЙ,A - acc sg plen f -,Й
178,,достаточно,ДОСТАТОЧНО,ADV -,,,как бы такую вкусную _достаточно_ пищу . ,о,н,ч,о,т,а,ADV,ДОСТАТОЧНО,ADV -,О
179,,пищу,ПИЩА,S f inan acc sg,,,такую вкусную достаточно _пищу_ .  ,у,щ,и,п,,,S,ПИЩА,S f inan acc sg,А
180,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
181,,,,,,,,,,,,,,,,,
182,# sent = 433,,,,,,,,,,,,,,,,
183,# speaker = Илья,,,,,,,,,,,,,,,,
184,# sent = 434,,,,,,,,,,,,,,,,
185,,А,А,CONJ,,,   _А_ так вот это,а,,,,,,CONJ,А,CONJ,А
186,,так,ТАК,ADVPRO,,,  А _так_ вот это вот,к,а,т,,,,ADV,ТАК,ADV -,К
187,,вот,ВОТ,PART,,, А так _вот_ это вот ощущение,т,о,в,,,,PART,ВОТ,PART,Т
188,,это,ЭТО,APRO - nom sg plen n -,,,А так вот _это_ вот ощущение ..,о,т,э,,,,SPRO,ЭТО,S n - nom sg,О
189,,вот,ВОТ,PART,,,так вот это _вот_ ощущение .. ,т,о,в,,,,PART,ВОТ,PART,Т
190,,ощущение,ОЩУЩЕНИЕ,S n inan nom sg,,,вот это вот _ощущение_ ..  ,е,и,н,е,щ,у,S,ОЩУЩЕНИЕ,S n inan nom sg,Е
191,,..,..,PUNCT,,,,,,,,,,PUNCT,,,
192,,,,,,,,,,,,,,,,,
193,# sent = 435,,,,,,,,,,,,,,,,
194,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
195,,такой,ТАКОЙ,APRO - gen sg plen f -,,,"  . _такой_ свободной жизни ,",й,о,к,а,т,,APRO,ТАКОЙ,A - acc sg plen m inan,Й
196,,свободной,СВОБОДНЫЙ,A - gen sg plen f -,,," . такой _свободной_ жизни , когда",й,о,н,д,о,б,A,СВОБОДНЫЙ,A - gen sg plen f -,Й
197,,жизни,ЖИЗНЬ,S f inan dat sg,,,". такой свободной _жизни_ , когда тебя",и,н,з,и,ж,,S,ЖИЗНЬ,S f inan gen sg,Ь
198,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
199,,когда,КОГДА,CONJ,,,"свободной жизни , _когда_ тебя не гнетёт",а,д,г,о,к,,CONJ,КОГДА,CONJ,А
200,,тебя,ТЫ,SPRO sg 2p - acc,,,"жизни , когда _тебя_ не гнетёт вот",я,б,е,т,,,SPRO,ТЫ,SPRO sg 2p - acc,Ы
201,,не,НЕ,PART,,,", когда тебя _не_ гнетёт вот это",е,н,,,,,PART,НЕ,PART,Е
202,,гнетёт,ГНЕСТИ,V ipf praes sg indic - 3p,,,когда тебя не _гнетёт_ вот это расписание,т,ё,т,е,н,г,V,ГНЕСТИ,V ipf praes sg indic - 3p,И
203,,вот,ВОТ,PART,,,тебя не гнетёт _вот_ это расписание постоянное,т,о,в,,,,PART,ВОТ,PART,Т
204,,это,ЭТОТ,APRO - nom sg plen n -,,,"не гнетёт вот _это_ расписание постоянное ,",о,т,э,,,,APRO,ЭТОТ,A - acc sg plen n -,Т
205,,расписание,РАСПИСАНИЕ,S n inan nom sg,,,"гнетёт вот это _расписание_ постоянное , постоянное",е,и,н,а,с,и,S,РАСПИСАНИЕ,S n inan nom sg,Е
206,,постоянное,ПОСТОЯННЫЙ,A - nom sg plen n -,,,"вот это расписание _постоянное_ , постоянное какое-то",е,о,н,н,я,о,A,ПОСТОЯННЫЙ,A - nom sg plen n -,Й
207,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
208,,постоянное,ПОСТОЯННЫЙ,A - nom sg plen n -,,,"расписание постоянное , _постоянное_ какое-то вот такое",е,о,н,н,я,о,A,ПОСТОЯННЫЙ,A - nom sg plen n -,Й
209,,какое-то,КАКОЙ-ТО,APRO - nom sg plen n -,,,"постоянное , постоянное _какое-то_ вот такое колесо",о,т,-,е,о,к,APRO,КАКОЙ-ТО,A - nom sg plen n -,О
210,,вот,ВОТ,PART,,,", постоянное какое-то _вот_ такое колесо ,",т,о,в,,,,PART,ВОТ,PART,Т
