0,#,FORM,LEMMA,GRAM,COMMENT,CHECKED,CONTEXT,RIGHT1,RIGHT2,RIGHT3,RIGHT4,RIGHT5,RIGHT6,POS,AUTO_LEMMA,AUTO_GRAM,
652,,человек,ЧЕЛОВЕК,S m anim gen sg,,,", ну несколько _человек_ , не знаю",к,е,в,о,л,е,S,ЧЕЛОВЕК,S m anim nom sg,К
653,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
654,,не,НЕ,PART,,,"несколько человек , _не_ знаю как его",е,н,,,,,PART,НЕ,PART,Е
655,,знаю,ЗНАТЬ,V ipf praes sg indic - 1p,,,"человек , не _знаю_ как его там",ю,а,н,з,,,V,ЗНАТЬ,V ipf praes sg indic - 1p,Ь
656,,как,КАК,CONJ,,,", не знаю _как_ его там в",к,а,к,,,,CONJ,КАК,CONJ,К
657,,его,ОН,SPRO sg 3p m acc,,,не знаю как _его_ там в бою,о,г,е,,,,SPRO,ОН,SPRO sg 3p m acc,Н
658,,там,ТАМ,ADVPRO,,,знаю как его _там_ в бою носили,м,а,т,,,,ADV,ТАМ,ADV -,М
659,,в,В,PR,,,как его там _в_ бою носили .,в,,,,,,PR,В,PR,В
660,,бою,БОЙ,S m inan loc2 sg,,,его там в _бою_ носили . ,ю,о,б,,,,S,БОЙ,S m inan loc2 sg,Й
661,,носили,НОСИТЬ,V ipf praet pl indic - -,,,там в бою _носили_ .  ,и,л,и,с,о,н,V,НОСИТЬ,V ipf praet pl indic - -,Ь
662,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
663,,,,,,,,,,,,,,,,,
664,# sent = 471,,,,,,,,,,,,,,,,
665,,Тяжеленная,ТЯЖЕЛЕННЫЙ,A - nom sg plen f -,,,.   _Тяжеленная_ вещь вообще .,я,а,н,н,е,л,A,ТЯЖЕЛЕННЫЙ,A - nom sg plen f -,Й
666,,вещь,ВЕЩЬ,S f inan nom sg,,,  Тяжеленная _вещь_ вообще . ,ь,щ,е,в,,,S,ВЕЩЬ,S f inan nom sg,Ь
667,,вообще,ВООБЩЕ,ADV -,,, Тяжеленная вещь _вообще_ .  ,е,щ,б,о,о,в,ADV,ВООБЩЕ,ADV -,Е
668,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
669,,,,,,,,,,,,,,,,,
670,# sent = 472,,,,,,,,,,,,,,,,
671,,Ну,НУ,PART,,,.   _Ну_ мы же дети,у,н,,,,,PART,НУ,PART,У
672,,мы,МЫ,SPRO pl 1p - nom,,,"  Ну _мы_ же дети ,",ы,м,,,,,SPRO,МЫ,SPRO pl 1p - nom,Ы
673,,же,ЖЕ,PART,,," Ну мы _же_ дети , конечно",е,ж,,,,,PART,ЖЕ,PART,Е
674,,дети,РЕБЕНОК,S m anim nom pl,,,"Ну мы же _дети_ , конечно ,",и,т,е,д,,,S,РЕБЕНОК,S m anim nom pl,К
675,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
676,,конечно,КОНЕЧНО,PARENTH,,,"же дети , _конечно_ , были ещё",о,н,ч,е,н,о,ADV,КОНЕЧНО,ADV -,О
677,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
678,,были,БЫТЬ,V ipf praet pl indic - -,,,", конечно , _были_ ещё , тогда",и,л,ы,б,,,V,БЫТЬ,V ipf praet pl indic - -,Ь
679,,ещё,ЕЩЕ,ADV -,,,"конечно , были _ещё_ , тогда нам",ё,щ,е,,,,ADV,ЕЩЕ,ADV -,Е
680,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
681,,тогда,ТОГДА,ADVPRO,,,"были ещё , _тогда_ нам было ещё",а,д,г,о,т,,ADV,ТОГДА,ADV -,А
682,,нам,МЫ,SPRO pl 1p - dat,,,"ещё , тогда _нам_ было ещё тежелее",м,а,н,,,,SPRO,МЫ,SPRO pl 1p - dat,Ы
683,,было,БЫТЬ,V ipf praet sg indic n -,,,", тогда нам _было_ ещё тежелее .",о,л,ы,б,,,V,БЫТЬ,V ipf praet sg indic n -,Ь
684,,ещё,ЕЩЕ,ADV -,,,тогда нам было _ещё_ тежелее . ,ё,щ,е,,,,ADV,ЕЩЕ,ADV -,Е
685,,тежелее,ТЕЖЕЛО,ADV comp,,,нам было ещё _тежелее_ .  ,е,е,л,е,ж,е,ADV,ТЕЖЕЛО,ADV comp,О
686,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
687,,,,,,,,,,,,,,,,,
688,# sent = 473,,,,,,,,,,,,,,,,
689,,Вот,ВОТ,PART,,,.   _Вот_ мы у них,т,о,в,,,,PART,ВОТ,PART,Т
690,,мы,МЫ,SPRO pl 1p - nom,,,  Вот _мы_ у них сперли,ы,м,,,,,SPRO,МЫ,SPRO pl 1p - nom,Ы
691,,у,У,PR,,, Вот мы _у_ них сперли пулемёт,у,,,,,,PR,У,PR,У
692,,них,ОНИ,SPRO pl - - gen,,,"Вот мы у _них_ сперли пулемёт ,",х,и,н,,,,SPRO,ОНИ,SPRO pl - - loc,И
693,,сперли,СПЕРЕТЬ,V pf praet pl indic - -,,,"мы у них _сперли_ пулемёт , в",и,л,р,е,п,с,V,СПЕРЕТЬ,V pf praet pl indic - -,Ь
694,,пулемёт,ПУЛЕМЕТ,S m inan acc sg,,,"у них сперли _пулемёт_ , в кустах",т,ё,м,е,л,у,S,ПУЛЕМЕТ,S m inan nom sg,Т
695,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
696,,в,В,PR,,,"сперли пулемёт , _в_ кустах спрятали ,",в,,,,,,PR,В,PR,В
697,,кустах,КУСТ,S m inan loc pl,,,"пулемёт , в _кустах_ спрятали , ну",х,а,т,с,у,к,S,КУСТ,S m inan loc pl,Т
698,,спрятали,СПРЯТАТЬ,V pf praet pl indic - -,,,", в кустах _спрятали_ , ну ,",и,л,а,т,я,р,V,СПРЯТАТЬ,V pf praet pl indic - -,Ь
699,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
700,,ну,НУ,PART,,,"кустах спрятали , _ну_ , потом ...",у,н,,,,,PART,НУ,PART,У
701,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
702,,потом,ПОТОМ,ADVPRO,,,", ну , _потом_ ... вернули как бы",м,о,т,о,п,,ADV,ПОТОМ,ADV -,М
703,,...,...,PUNCT,,,,,,,,,,PUNCT,,,
704,,вернули,ВЕРНУТЬ,V pf praet pl indic - -,,,", потом ... _вернули_ как бы . ",и,л,у,н,р,е,V,ВЕРНУТЬ,V pf praet pl indic - -,Ь
705,,как бы,как бы,PART,,,потом ... вернули _как бы_ .  ,ы,б, ,к,а,к,PART,как бы,ADV -,ы
706,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
707,,,,,,,,,,,,,,,,,
708,# sent = 474,,,,,,,,,,,,,,,,
709,# speaker = Илья,,,,,,,,,,,,,,,,
710,# sent = 475,,,,,,,,,,,,,,,,
711,,Ещё,ЕЩЕ,ADV -,,,   _Ещё_ у нас был,ё,щ,е,,,,ADV,ЕЩЕ,ADV -,Е
712,,у,У,PR,,,  Ещё _у_ нас был один,у,,,,,,PR,У,PR,У
713,,нас,МЫ,SPRO pl 1p - gen,,, Ещё у _нас_ был один интересный,с,а,н,,,,SPRO,МЫ,SPRO pl 1p - loc,Ы
714,,был,БЫТЬ,V ipf praet sg indic m -,,,Ещё у нас _был_ один интересный случай,л,ы,б,,,,V,БЫТЬ,V ipf praet sg indic m -,Ь
715,,один,ОДИН,ANUM - nom sg plen m -,,,"у нас был _один_ интересный случай ,",н,и,д,о,,,ANUM,ОДИН,A - nom sg plen m -,Н
716,,интересный,ИНТЕРЕСНЫЙ,A - nom sg plen m -,,,"нас был один _интересный_ случай , это",й,ы,н,с,е,р,A,ИНТЕРЕСНЫЙ,A - nom sg plen m -,Й
717,,случай,СЛУЧАЙ,S m inan nom sg,,,"был один интересный _случай_ , это уже",й,а,ч,у,л,с,S,СЛУЧАЙ,S m inan nom sg,Й
718,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
719,,это,ЭТО,SPRO n - nom sg,,,"интересный случай , _это_ уже в спортлагере",о,т,э,,,,SPRO,ЭТО,S n - nom sg,О
720,,уже,УЖЕ,ADV -,,,"случай , это _уже_ в спортлагере ,",е,ж,у,,,,ADV,УЖЕ,ADV -,Е
721,,в,В,PR,,,", это уже _в_ спортлагере , где",в,,,,,,PR,В,PR,В
722,,спортлагере,СПОРТЛАГЕРЬ,S m inan loc sg,,,"это уже в _спортлагере_ , где я",е,р,е,г,а,л,S,СПОРТЛАГЕРЬ,S m inan loc sg,Ь
723,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
724,,где,ГДЕ,ADVPRO,,,"в спортлагере , _где_ я был ...",е,д,г,,,,ADV,ГДЕ,ADV -,Е
725,,я,Я,SPRO sg 1p - nom,,,"спортлагере , где _я_ был ... в",я,,,,,,SPRO,Я,SPRO sg 1p - nom,Я
726,,был,БЫТЬ,V ipf praet sg indic m -,,,", где я _был_ ... в """,л,ы,б,,,,V,БЫТЬ,V ipf praet sg indic m -,Ь
727,,...,...,PUNCT,,,,,,,,,,PUNCT,,,
728,,в,В,PR,,,"я был ... _в_ "" Нептуне """,в,,,,,,PR,В,PR,В
729,,"""","""",PUNCT,,,,,,,,,,PUNCT,,,
730,,Нептуне,НЕПТУН,S m inan loc sg,,,"... в "" _Нептуне_ "" . ",е,н,у,т,п,е,S,НЕПТУН,S m inan loc sg,Н
731,,"""","""",PUNCT,,,,,,,,,,PUNCT,,,
732,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
733,,,,,,,,,,,,,,,,,
734,# sent = 476,,,,,,,,,,,,,,,,
735,,У,У,PR,,,.   _У_ нас один парень,у,,,,,,PR,У,PR,У
736,,нас,МЫ,SPRO pl 1p - gen,,,  У _нас_ один парень .,с,а,н,,,,SPRO,МЫ,SPRO pl 1p - loc,Ы
737,,один,ОДИН,ANUM - nom sg plen m -,,, У нас _один_ парень . ,н,и,д,о,,,ANUM,ОДИН,A - nom sg plen m -,Н
738,,парень,ПАРЕНЬ,S m anim nom sg,,,У нас один _парень_ .  ,ь,н,е,р,а,п,S,ПАРЕНЬ,S m anim nom sg,Ь
739,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
740,,,,,,,,,,,,,,,,,
741,# sent = 477,,,,,,,,,,,,,,,,
742,,Ну,НУ,PART,,,.   _Ну_ тоже вот мы,у,н,,,,,PART,НУ,PART,У
743,,тоже,ТОЖЕ,PART,,,  Ну _тоже_ вот мы так,е,ж,о,т,,,PART,ТОЖЕ,PART,Е
744,,вот,ВОТ,PART,,, Ну тоже _вот_ мы так гуляли,т,о,в,,,,PART,ВОТ,PART,Т
745,,мы,МЫ,SPRO pl 1p - nom,,,"Ну тоже вот _мы_ так гуляли ,",ы,м,,,,,SPRO,МЫ,SPRO pl 1p - nom,Ы
746,,так,ТАК,ADVPRO,,,"тоже вот мы _так_ гуляли , когда",к,а,т,,,,ADV,ТАК,ADV -,К
747,,гуляли,ГУЛЯТЬ,V ipf praet pl indic - -,,,"вот мы так _гуляли_ , когда не",и,л,я,л,у,г,V,ГУЛЯТЬ,V ipf praet pl indic - -,Ь
748,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
749,,когда,КОГДА,CONJ,,,"так гуляли , _когда_ не на тренировке",а,д,г,о,к,,CONJ,КОГДА,CONJ,А
750,,не,НЕ,PART,,,"гуляли , когда _не_ на тренировке .",е,н,,,,,PART,НЕ,PART,Е
751,,на,НА,PR,,,", когда не _на_ тренировке . ",а,н,,,,,PR,НА,PR,А
752,,тренировке,ТРЕНИРОВКА,S f inan loc sg,,,когда не на _тренировке_ .  ,е,к,в,о,р,и,S,ТРЕНИРОВКА,S f inan loc sg,А
753,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
754,,,,,,,,,,,,,,,,,
755,# sent = 478,,,,,,,,,,,,,,,,
756,,И,И,CONJ,,,.   _И_ стоял на дороге,и,,,,,,CONJ,И,CONJ,И
757,,стоял,СТОЯТЬ,V ipf praet sg indic m -,,,"  И _стоял_ на дороге ,",л,я,о,т,с,,V,СТОЯТЬ,V ipf praet sg indic m -,Ь
758,,на,НА,PR,,," И стоял _на_ дороге , а",а,н,,,,,PR,НА,PR,А
759,,дороге,ДОРОГА,S f inan loc sg,,,"И стоял на _дороге_ , а у",е,г,о,р,о,д,S,ДОРОГА,S f inan dat sg,А
760,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
761,,а,А,CONJ,,,"на дороге , _а_ у нас был",а,,,,,,CONJ,А,CONJ,А
762,,у,У,PR,,,"дороге , а _у_ нас был (",у,,,,,,PR,У,PR,У
763,,нас,МЫ,SPRO pl 1p - gen,,,", а у _нас_ был ( как",с,а,н,,,,SPRO,МЫ,SPRO pl 1p - loc,Ы
764,,был,БЫТЬ,V ipf praet sg indic m -,,,а у нас _был_ ( как это,л,ы,б,,,,V,БЫТЬ,V ipf praet sg indic m -,Ь
765,,(,(,PUNCT,,,,,,,,,,PUNCT,,,
766,,как,КАК,CONJ,,,нас был ( _как_ это описать ),к,а,к,,,,CONJ,КАК,CONJ,К
767,,это,ЭТО,SPRO n - acc sg,,,был ( как _это_ описать ) .,о,т,э,,,,SPRO,ЭТО,S n inan acc sg,О
768,,описать,ОПИСАТЬ,V pf - - inf - -,,,( как это _описать_ ) . ,ь,т,а,с,и,п,V,ОПИСАТЬ,V pf - - inf - -,Ь
769,,),),PUNCT,,,,,,,,,,PUNCT,,,
770,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
771,,,,,,,,,,,,,,,,,
772,# sent = 479,,,,,,,,,,,,,,,,
773,# speaker = Илья,,,,,,,,,,,,,,,,
774,# sent = 480,,,,,,,,,,,,,,,,
775,,Где,ГДЕ,ADVPRO,,,"   _Где_ располагался лагерь ,",е,д,г,,,,ADV,ГДЕ,ADV -,Е
776,,располагался,РАСПОЛАГАТЬСЯ,V ipf praet sg indic m -,,,"  Где _располагался_ лагерь , он",я,с,л,а,г,а,V,РАСПОЛАГАТЬСЯ,V ipf praet sg indic m -,Я
777,,лагерь,ЛАГЕРЬ,S m inan nom sg,,," Где располагался _лагерь_ , он был",ь,р,е,г,а,л,S,ЛАГЕРЬ,S m inan acc sg,Ь
778,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
779,,он,ОН,SPRO sg 3p m nom,,,"располагался лагерь , _он_ был на берегу",н,о,,,,,SPRO,ОН,SPRO sg 3p m nom,Н
780,,был,БЫТЬ,V ipf praet sg indic m -,,,"лагерь , он _был_ на берегу реки",л,ы,б,,,,V,БЫТЬ,V ipf praet sg indic m -,Ь
781,,на,НА,PR,,,", он был _на_ берегу реки :",а,н,,,,,PR,НА,PR,А
782,,берегу,БЕРЕГ,S m inan loc2 sg,,,он был на _берегу_ реки : не,у,г,е,р,е,б,S,БЕРЕГ,S m inan loc2 sg,Г
783,,реки,РЕКА,S f inan gen sg,,,был на берегу _реки_ : не на,и,к,е,р,,,S,РЕКА,S f inan gen sg,А
784,,:,:,PUNCT,,,,,,,,,,PUNCT,,,
785,,не,НЕ,PART,,,берегу реки : _не_ на самом берегу,е,н,,,,,PART,НЕ,PART,Е
786,,на,НА,PR,,,"реки : не _на_ самом берегу ,",а,н,,,,,PR,НА,PR,А
787,,самом,САМЫЙ,A - loc sg plen m -,,,": не на _самом_ берегу , а",м,о,м,а,с,,A,САМЫЙ,A - loc sg plen m -,Й
788,,берегу,БЕРЕГ,S m inan loc2 sg,,,"не на самом _берегу_ , а метров",у,г,е,р,е,б,S,БЕРЕГ,S m inan loc2 sg,Г
789,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
790,,а,А,CONJ,,,"самом берегу , _а_ метров пятьсот от",а,,,,,,CONJ,А,CONJ,А
791,,метров,МЕТР,S m inan gen pl,,,"берегу , а _метров_ пятьсот от реки",в,о,р,т,е,м,S,МЕТР,S m inan gen pl,Р
792,,пятьсот,ПЯТЬСОТ,NUM acc - -,,,", а метров _пятьсот_ от реки в",т,о,с,ь,т,я,NUM,ПЯТЬСОТ,NUM acc - -,Т
793,,от,ОТ,PR,,,а метров пятьсот _от_ реки в лесу,т,о,,,,,PR,ОТ,PR,Т
794,,реки,РЕКА,S f inan gen sg,,,метров пятьсот от _реки_ в лесу .,и,к,е,р,,,S,РЕКА,S f inan gen sg,А
795,,в,В,PR,,,пятьсот от реки _в_ лесу . ,в,,,,,,PR,В,PR,В
796,,лесу,ЛЕС,S m inan loc2 sg,,,от реки в _лесу_ .  ,у,с,е,л,,,S,ЛЕС,S m inan loc2 sg,С
797,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
798,,,,,,,,,,,,,,,,,
799,# sent = 481,,,,,,,,,,,,,,,,
800,,Там,ТАМ,ADVPRO,,,.   _Там_ поляна такая большая,м,а,т,,,,ADV,ТАМ,ADV -,М
801,,поляна,ПОЛЯНА,S f inan nom sg,,,"  Там _поляна_ такая большая ,",а,н,я,л,о,п,S,ПОЛЯНА,S f inan nom sg,А
802,,такая,ТАКОЙ,APRO - nom sg plen f -,,," Там поляна _такая_ большая , потом",я,а,к,а,т,,APRO,ТАКОЙ,A - nom sg plen f -,Й
803,,большая,БОЛЬШОЙ,A - nom sg plen f -,,,"Там поляна такая _большая_ , потом через",я,а,ш,ь,л,о,A,БОЛЬШОЙ,A - nom sg plen f -,Й
804,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
805,,потом,ПОТОМ,ADVPRO,,,"такая большая , _потом_ через лес ,",м,о,т,о,п,,ADV,ПОТОМ,ADV -,М
806,,через,ЧЕРЕЗ,PR,,,"большая , потом _через_ лес , ну",з,е,р,е,ч,,PR,ЧЕРЕЗ,PR,З
807,,лес,ЛЕС,S m inan acc sg,,,", потом через _лес_ , ну ,",с,е,л,,,,S,ЛЕС,S m inan acc sg,С
808,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
809,,ну,НУ,PART,,,"через лес , _ну_ , как бы идёшь",у,н,,,,,PART,НУ,PART,У
810,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
811,,как бы,как бы,PART,,,", ну , _как бы_ идёшь через лес",ы,б, ,к,а,к,PART,как бы,ADV -,ы
812,,идёшь,ИДТИ,V ipf praes sg indic - 2p,,,"ну , как бы _идёшь_ через лес такой",ь,ш,ё,д,и,,V,ИДТИ,V ipf praes sg indic - 2p,И
813,,через,ЧЕРЕЗ,PR,,,", как бы идёшь _через_ лес такой .",з,е,р,е,ч,,PR,ЧЕРЕЗ,PR,З
814,,лес,ЛЕС,S m inan acc sg,,,как бы идёшь через _лес_ такой . ,с,е,л,,,,S,ЛЕС,S m inan acc sg,С
815,,такой,ТАКОЙ,APRO - acc sg plen m -,,,идёшь через лес _такой_ .  ,й,о,к,а,т,,APRO,ТАКОЙ,A - gen sg plen f -,Й
816,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
817,,,,,,,,,,,,,,,,,
818,# sent = 482,,,,,,,,,,,,,,,,
819,,И,И,CONJ,,,.   _И_ там берег реки,и,,,,,,CONJ,И,CONJ,И
820,,там,ТАМ,ADVPRO,,,  И _там_ берег реки и,м,а,т,,,,ADV,ТАМ,ADV -,М
821,,берег,БЕРЕГ,S m inan nom sg,,, И там _берег_ реки и метров,г,е,р,е,б,,S,БЕРЕГ,S m inan acc sg,Г
822,,реки,РЕКА,S f inan gen sg,,,И там берег _реки_ и метров тоже,и,к,е,р,,,S,РЕКА,S f inan gen sg,А
823,,и,И,CONJ,,,там берег реки _и_ метров тоже пятьсот,и,,,,,,CONJ,И,CONJ,И
824,,метров,МЕТР,S m inan gen pl,,,берег реки и _метров_ тоже пятьсот в,в,о,р,т,е,м,S,МЕТР,S m inan gen pl,Р
825,,тоже,ТОЖЕ,PART,,,реки и метров _тоже_ пятьсот в сторону,е,ж,о,т,,,PART,ТОЖЕ,PART,Е
826,,пятьсот,ПЯТЬСОТ,NUM acc - -,,,и метров тоже _пятьсот_ в сторону была,т,о,с,ь,т,я,NUM,ПЯТЬСОТ,NUM acc - -,Т
827,,в,В,PR,,,метров тоже пятьсот _в_ сторону была паромная,в,,,,,,PR,В,PR,В
828,,сторону,СТОРОНА,S f inan acc sg,,,тоже пятьсот в _сторону_ была паромная переправа,у,н,о,р,о,т,S,СТОРОНА,S f inan acc sg,А
829,,была,БЫТЬ,V ipf praet sg indic f -,,,пятьсот в сторону _была_ паромная переправа через,а,л,ы,б,,,V,БЫТЬ,V ipf praet sg indic f -,Ь
830,,паромная,ПАРОМНЫЙ,A - nom sg plen f -,,,в сторону была _паромная_ переправа через реку,я,а,н,м,о,р,A,ПАРОМНЫЙ,A - nom sg plen f -,Й
831,,переправа,ПЕРЕПРАВА,S f inan nom sg,,,сторону была паромная _переправа_ через реку Клязьма,а,в,а,р,п,е,S,ПЕРЕПРАВА,S f inan nom sg,А
832,,через,ЧЕРЕЗ,PR,,,была паромная переправа _через_ реку Клязьма .,з,е,р,е,ч,,PR,ЧЕРЕЗ,PR,З
833,,реку,РЕКА,S f inan acc sg,,,паромная переправа через _реку_ Клязьма . ,у,к,е,р,,,S,РЕКА,S f inan acc sg,А
834,,Клязьма,КЛЯЗЬМА,S f inan nom sg,,,переправа через реку _Клязьма_ .  ,а,м,ь,з,я,л,S,КЛЯЗЬМА,S f inan nom sg,А
835,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
836,,,,,,,,,,,,,,,,,
837,# sent = 483,,,,,,,,,,,,,,,,
838,,Ну,НУ,PART,,,".   _Ну_ , это возле",у,н,,,,,PART,НУ,PART,У
839,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
840,,это,ЭТО,SPRO n - nom sg,,," Ну , _это_ возле Коврова ,",о,т,э,,,,SPRO,ЭТО,S n - nom sg,О
841,,возле,ВОЗЛЕ,PR,,,"Ну , это _возле_ Коврова , Владимирская",е,л,з,о,в,,PR,ВОЗЛЕ,PR,Е
842,,Коврова,КОВРОВ,S m inan gen sg,,,", это возле _Коврова_ , Владимирская область",а,в,о,р,в,о,S,КОВРОВ,S m inan gen sg,В
843,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
844,,Владимирская,ВЛАДИМИРСКИЙ,A - nom sg plen f -,,,"возле Коврова , _Владимирская_ область . ",я,а,к,с,р,и,A,ВЛАДИМИРСКИЙ,A - nom sg plen f -,Й
845,,область,ОБЛАСТЬ,S f inan nom sg,,,"Коврова , Владимирская _область_ .  ",ь,т,с,а,л,б,S,ОБЛАСТЬ,S f inan nom sg,Ь
846,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
847,,,,,,,,,,,,,,,,,
848,# sent = 484,,,,,,,,,,,,,,,,
849,,И,И,CONJ,,,.   _И_ вот там стоял,и,,,,,,CONJ,И,CONJ,И
850,,вот,ВОТ,PART,,,  И _вот_ там стоял на,т,о,в,,,,PART,ВОТ,PART,Т
851,,там,ТАМ,ADVPRO,,, И вот _там_ стоял на берегу,м,а,т,,,,ADV,ТАМ,ADV -,М
852,,стоял,СТОЯТЬ,V ipf praet sg indic m -,,,И вот там _стоял_ на берегу трактор,л,я,о,т,с,,V,СТОЯТЬ,V ipf praet sg indic m -,Ь
853,,на,НА,PR,,,вот там стоял _на_ берегу трактор .,а,н,,,,,PR,НА,PR,А
854,,берегу,БЕРЕГ,S m inan loc2 sg,,,там стоял на _берегу_ трактор . ,у,г,е,р,е,б,S,БЕРЕГ,S m inan loc2 sg,Г
855,,трактор,ТРАКТОР,S m inan nom sg,,,стоял на берегу _трактор_ .  ,р,о,т,к,а,р,S,ТРАКТОР,S m inan nom sg,Р
856,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
857,,,,,,,,,,,,,,,,,
858,# sent = 485,,,,,,,,,,,,,,,,
859,,Видимо,ВИДИМО,PARENTH,,,".   _Видимо_ , ждал парома",о,м,и,д,и,в,ADV,ВИДИМО,ADV -,О
860,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
861,,ждал,ЖДАТЬ,V ipf praet sg indic m -,,," Видимо , _ждал_ парома , когда",л,а,д,ж,,,V,ЖДАТЬ,V ipf praet sg indic m -,Ь
862,,парома,ПАРОМ,S m inan gen sg,,,"Видимо , ждал _парома_ , когда он",а,м,о,р,а,п,S,ПАРОМ,S m inan gen sg,М
863,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
864,,когда,КОГДА,CONJ,,,"ждал парома , _когда_ он переправится с",а,д,г,о,к,,CONJ,КОГДА,CONJ,А
865,,он,ОН,SPRO sg 3p m nom,,,"парома , когда _он_ переправится с той",н,о,,,,,SPRO,ОН,SPRO sg 3p m nom,Н
866,,переправится,ПЕРЕПРАВИТЬСЯ,V pf fut sg indic - 3p,,,", когда он _переправится_ с той стороны",я,с,т,и,в,а,V,ПЕРЕПРАВИТЬСЯ,V pf fut sg indic - 3p,Я
867,,с,С,PR,,,"когда он переправится _с_ той стороны ,",с,,,,,,PR,С,PR,С
868,,той,ТОТ,APRO - gen sg plen f -,,,"он переправится с _той_ стороны , чтобы",й,о,т,,,,APRO,ТОТ,A - gen sg plen f -,Т
869,,стороны,СТОРОНА,S f inan gen sg,,,"переправится с той _стороны_ , чтобы переехать",ы,н,о,р,о,т,S,СТОРОНА,S f inan gen sg,А
870,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
871,,чтобы,ЧТОБЫ,CONJ,,,"той стороны , _чтобы_ переехать . ",ы,б,о,т,ч,,CONJ,ЧТОБЫ,CONJ,Ы
872,,переехать,ПЕРЕЕХАТЬ,V pf - - inf - -,,,"стороны , чтобы _переехать_ .  ",ь,т,а,х,е,е,V,ПЕРЕЕХАТЬ,V pf - - inf - -,Ь
873,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
